"","Nt","min.N","g","g.1","max.g","evolve","survive","sigma"
"1",0,0,0,0,0,NA,0,0
"2",0,0,0,0,0,NA,0,0
"3",0,0,0,0,0,NA,0,0
"4",0,0,0,0,0,NA,0,0
"5",0,0,0,0,0,NA,0,0
"6",0,0,0,0,0,NA,0,0
"7",0,0,0,0,0,NA,0,0
"8",0,0,0,0,0,NA,0,0
"9",0,0,0,0,0,NA,0,0
"10",0,0,0,0,0,NA,0,0
"11",0,0,0,0,0,NA,0,0
"12",0,0,0,0,0,NA,0,0
"13",0,0,0,0,0,NA,0,0
"14",0,0,0,0,0,NA,0,0
"15",0,0,0,0,0,NA,0,0
"16",0,0,0,0,0,NA,0,0
"17",0,0,0,0,0,NA,0,0
"18",0,0,0,0,0,NA,0,0
"19",0,0,0,0,0,NA,0,0
"20",0,0,0,0,0,NA,0,0
"21",0,0,0,0.000205804111450924,0.000276524668157197,0.141441113412545,0,5e-04
"22",0,0,0,0.000229872033236991,0.000813141243868621,1.16653842126326,0,5e-04
"23",0,0,0,0.000185076809072275,0.000340186926994505,0.31022023584446,0,5e-04
"24",0,0,0,0.000193519454726672,0.00116290725718411,1.93877560491487,0,5e-04
"25",0,0,0,0.000185576413456316,0.000735820845431823,1.10048886395101,0,5e-04
"26",0,0,0,0.000204808239378326,0.000205837426510881,0.0020583742651088,0,5e-04
"27",10,1,0,0.00020847538953374,0.00215894097064567,3.90093116222387,1,5e-04
"28",0,0,0,0.000180435117682504,0.000616957113273144,0.87304399118128,0,5e-04
"29",0,0,0,0.000195543663615915,0.000197859284108905,0.00463124098598014,0,5e-04
"30",0,0,0,0.000209633509846952,0.000316123781405979,0.212980543118053,0,5e-04
"31",0,0,0,0.000194643480875684,0.000217847186089794,0.0464074104282199,0,5e-04
"32",0,0,0,0.000204077590502896,0.000529384210191442,0.650613239377091,0,5e-04
"33",0,0,0,0.000215850376561073,0.000222570247731514,0.0134397423408818,0,5e-04
"34",0,0,0,0.000188309267931309,0.000276155245555496,0.175691955248375,0,5e-04
"35",0,0,0,0.000237222237256524,0.000919976320954715,1.36550816739638,0,5e-04
"36",0,0,0,0.000199283985630503,0.000282369408890694,0.166170846520382,0,5e-04
"37",17,1,0,0.000241393732194094,0.00188276895099304,3.28275043759789,1,5e-04
"38",0,0,0,0.00019557350934123,0.000196556290795206,0.00196556290795206,0,5e-04
"39",0,0,0,0.000174504063999528,0.000353130277259515,0.357252426519972,0,5e-04
"40",0,0,0,0.000194957619408748,0.000324253684214474,0.258592129611451,0,5e-04
"41",181,1,0,0.00228009603005646,0.0169980205341501,2.94358490081873,1,0.005
"42",179,2,0,0.00194825130194042,0.0130879337661772,2.22793649284736,1,0.005
"43",177,1,0,0.00198817820835762,0.014379969454096,2.47835824914768,1,0.005
"44",0,0,0,0.00196305480053751,0.00397760968457625,0.402910976807749,0,0.005
"45",182,2,0,0.00238403024902886,0.015383360822552,2.59986611470464,1,0.005
"46",180,2,0,0.00183987792274871,0.0122656418990472,2.08515279525969,1,0.005
"47",0,0,0,0.00198384333840411,0.00336784607691116,0.276800547701409,0,0.005
"48",0,0,0,0.00185333618292736,0.00747923902457827,1.12518056833018,0,0.005
"49",183,1,0,0.00190248194214497,0.0136606146484063,2.35162654125227,1,0.005
"50",174,1,0,0.00194335171075141,0.0083760842880702,1.28654651546376,1,0.005
"51",0,0,0,0.00248031813655547,0.00395562039800118,0.295060452289142,0,0.005
"52",0,0,0,0.00166952584100054,0.00920132987374226,1.50636080654834,0,0.005
"53",186,1,0,0.00215951246096862,0.0170139257294342,2.97088265369312,1,0.005
"54",14,1,0,0.00200399430851882,0.0112020815654101,1.83961745137825,1,0.005
"55",190,4,0,0.00206640298183157,0.0174235779225688,3.07143498814744,1,0.005
"56",188,1,0,0.00235246998394954,0.0115185239254908,1.83321078830826,1,0.005
"57",168,1,0,0.00201661280735482,0.0183501332037507,3.26670407927917,1,0.005
"58",0,0,0,0.00195570109343247,0.002586417636118,0.126143308537107,0,0.005
"59",190,2,0,0.00193565073944142,0.0183485625886161,3.28258236983494,1,0.005
"60",185,2,0,0.00199214305705443,0.0167438245684061,2.95033630227034,1,0.005
"61",0,0,0,0.00280482518584576,0.0135775022608617,1.07726770750159,0,0.01
"62",0,0,0,0.00373688579678802,0.00498857272975759,0.125168693296956,0,0.01
"63",0,0,0,0.00427073474873862,0.00440128595047083,0.0130551201732216,0,0.01
"64",0,0,0,0.00408344963263566,0.0195418207620091,1.54583711293734,0,0.01
"65",189,4,0,0.00446655850082407,0.0258853766617816,2.14188181609576,1,0.01
"66",186,3,0,0.0038433678911014,0.0245099833962622,2.06666155051608,1,0.01
"67",192,1,0,0.00388076317578951,0.0380053606685911,3.41245974928015,1,0.01
"68",0,0,0,0.00357094593006512,0.0189478852411915,1.53769393111264,0,0.01
"69",195,2,0,0.00324467987606212,0.029057874895864,2.58131950198019,1,0.01
"70",187,2,0,0.00402051601457591,0.0272875788050689,2.3267062790493,1,0.01
"71",0,0,0,0.00328620571886643,0.0107529467589089,0.746674104004248,0,0.01
"72",191,1,0,0.0041427182270158,0.0285329304355581,2.43902122085423,1,0.01
"73",194,2,0,0.00425305411692076,0.0284561462831736,2.42030921662529,1,0.01
"74",195,2,0,0.00434473369692206,0.0291276023960596,2.47828686991376,1,0.01
"75",189,3,0,0.00453834527455594,0.0300224741451705,2.54841288706146,1,0.01
"76",190,4,0,0.00393920315052292,0.0270781258706807,2.31389227201578,1,0.01
"77",194,2,0,0.00417070904187925,0.0274837912663598,2.33130822244806,1,0.01
"78",190,3,0,0.0037704498984091,0.0322073789030085,2.84369290045994,1,0.01
"79",190,1,0,0.00368459784858119,0.023934671626588,2.02500737780068,1,0.01
"80",187,4,0,0.00382279799023826,0.0248698399372014,2.10470419469632,1,0.01
"81",191,2,0,0.00691926297127102,0.043808372633863,2.45927397750613,1,0.015
"82",195,5,0,0.00566957635460506,0.062020858703842,3.7567521566158,1,0.015
"83",193,5,0,0.0055044488746611,0.0410782994939175,2.37159004128376,1,0.015
"84",197,4,0,0.00538415324423711,0.06571909752904,4.02232961898686,1,0.015
"85",195,4,0,0.00582670219846359,0.0345927869409128,1.91773898282995,1,0.015
"86",193,2,0,0.00534048690747822,0.0418206924263389,2.43201370125738,1,0.015
"87",196,5,0,0.00670972009562978,0.0447899310461199,2.53868073003267,1,0.015
"88",196,4,0,0.00610658157154985,0.0451840333352851,2.60516345091569,1,0.015
"89",193,3,0,0.00694504177332144,0.0603511170901512,3.56040502112198,1,0.015
"90",192,2,0,0.00650322102623805,0.0434579150393195,2.46364626753877,1,0.015
"91",194,2,0,0.00623203022674657,0.046534650454538,2.68684134851943,1,0.015
"92",192,2,0,0.00629900475751503,0.041368155344536,2.33794337246806,1,0.015
"93",197,8,0,0.0064521278986144,0.064244536781113,3.85282725883324,1,0.015
"94",195,3,0,0.00631083903073246,0.0508697685404975,2.970595300651,1,0.015
"95",193,3,0,0.00661281895668932,0.0475215455818406,2.72724844167675,1,0.015
"96",0,0,0,0.00622365228669583,0.0203351283082272,0.940765068102093,0,0.015
"97",191,4,0,0.00698481756812099,0.0543456823612633,3.15739098620949,1,0.015
"98",197,4,0,0.00581893191825843,0.0487275819609955,2.86057666951581,1,0.015
"99",196,2,0,0.00571829465736084,0.0409281041305377,2.34732063154512,1,0.015
"100",188,2,0,0.00506136470438713,0.0290253637371652,1.59759993551853,1,0.015
"101",193,2,0,0.0076914417447638,0.0497176063407849,2.10130822980106,1,0.02
"102",200,7,0,0.00844746644617484,0.052022576357016,2.17875549554206,1,0.02
"103",197,4,0,0.00774176241033149,0.0507042459340023,2.14812417618354,1,0.02
"104",198,8,0,0.00922911738728329,0.060788668400042,2.57797755063793,1,0.02
"105",193,5,0,0.00906059425912511,0.0801667240766234,3.55530649087492,1,0.02
"106",197,5,0,0.0077274935237581,0.0655786729002455,2.89255896882437,1,0.02
"107",194,4,0,0.00782640525890232,0.0449161361873223,1.854486546421,1,0.02
"108",191,2,0,0.00853595904141592,0.0485168175999318,1.9990429279258,1,0.02
"109",194,4,0,0.00802554308676375,0.0582744781828,2.51244675480181,1,0.02
"110",198,3,0,0.00859949568023869,0.058337698981297,2.48691016505292,1,0.02
"111",197,6,0,0.00727728881990943,0.0464674640229519,1.95950876015213,1,0.02
"112",195,1,0,0.00853664517905961,0.0601116005148292,2.57874776678848,1,0.02
"113",195,4,0,0.00815652896895435,0.0611014499822754,2.64724605066605,1,0.02
"114",196,2,0,0.00756861698159122,0.0411021786773013,1.6766780847855,1,0.02
"115",196,5,0,0.009280413443474,0.0387207133110467,1.47201499337863,1,0.02
"116",194,4,0,0.00639915389960194,0.0421906537165734,1.78957499084857,1,0.02
"117",194,7,0,0.00682665042901479,0.058102052485259,2.56377010281221,1,0.02
"118",196,6,0,0.00973198754754654,0.0567929521076732,2.35304822800633,1,0.02
"119",194,6,0,0.0100187616770741,0.0479017349915017,1.89414866572138,1,0.02
"120",195,8,0,0.00967464896201522,0.0451893581484363,1.77573545932106,1,0.02
